,Atkinson,Attwell,Bennett,Clattenburg,Dean,Dowd,Foy,Friend,Halsey,Jones,Marriner,Mason,Probert,Taylor,Walton,Webb,Wiley,Moss,Oliver,Swarbrick,East,Madley,Pawson,Scott,Stroud,Tierney,Hooper,Kavanagh,Coote,Bankes,England,Langford,Robinson
Arsenal,70,31.0,6.0,34.0,79,27.0,9.0,29,5.0,28.0,41,28,7.0,51,10.0,35.0,2.0,33.0,60.0,15.0,10.0,9.0,20.0,8.0,0.0,13.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0
Aston Villa,36,11.0,8.0,49.0,43,24.0,14.0,37,17.0,23.0,0,43,21.0,30,8.0,17.0,0.0,31.0,43.0,33.0,18.0,12.0,22.0,10.0,3.0,3.0,1.0,7.0,1.0,2.0,0.0,0.0,0.0
Birmingham,18,7.0,2.0,10.0,5,6.0,10.0,15,4.0,8.0,0,8,9.0,5,14.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blackburn,13,5.0,6.0,23.0,22,18.0,12.0,9,2.0,9.0,23,12,6.0,6,7.0,9.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blackpool,1,3.0,0.0,2.0,5,0.0,2.0,2,1.0,1.0,4,7,2.0,6,3.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolton,9,7.0,12.0,22.0,16,15.0,19.0,13,0.0,15.0,18,0,13.0,1,9.0,11.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bournemouth,19,22.0,0.0,5.0,32,0.0,0.0,23,0.0,13.0,10,15,7.0,12,0.0,0.0,0.0,10.0,13.0,5.0,16.0,13.0,19.0,16.0,0.0,21.0,4.0,11.0,2.0,3.0,0.0,0.0,0.0
Brighton,5,10.0,0.0,0.0,10,0.0,0.0,15,0.0,1.0,11,6,7.0,13,0.0,0.0,0.0,16.0,10.0,5.0,6.0,6.0,11.0,8.0,0.0,1.0,5.0,20.0,4.0,0.0,0.0,0.0,0.0
Burnley,45,12.0,3.0,16.0,47,11.0,10.0,24,0.0,12.0,17,17,7.0,16,1.0,11.0,2.0,34.0,19.0,0.0,10.0,10.0,22.0,9.0,0.0,13.0,7.0,12.0,4.0,2.0,0.0,0.0,0.0
Cardiff,9,1.0,0.0,2.0,8,8.0,3.0,9,0.0,1.0,6,4,5.0,6,0.0,6.0,0.0,11.0,8.0,6.0,3.0,2.0,6.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,60,10.0,3.0,34.0,82,30.0,15.0,26,11.0,22.0,51,35,12.0,62,16.0,35.0,5.0,46.0,34.0,12.0,5.0,11.0,21.0,4.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0
Crystal Palace,32,10.0,0.0,15.0,30,8.0,5.0,32,0.0,18.0,37,18,5.0,36,0.0,6.0,0.0,53.0,33.0,25.0,11.0,18.0,26.0,3.0,3.0,11.0,1.0,5.0,3.0,3.0,0.0,0.0,0.0
Everton,48,21.0,6.0,17.0,7,25.0,0.0,42,9.0,27.0,52,42,28.0,52,19.0,32.0,11.0,45.0,53.0,18.0,10.0,24.0,22.0,10.0,0.0,13.0,2.0,9.0,3.0,0.0,0.0,0.0,0.0
Fulham,25,9.0,4.0,13.0,26,22.0,14.0,30,6.0,15.0,19,18,23.0,13,12.0,11.0,0.0,12.0,14.0,8.0,8.0,0.0,6.0,3.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Huddersfield,4,10.0,0.0,0.0,10,0.0,0.0,7,0.0,0.0,4,10,5.0,7,0.0,0.0,0.0,12.0,5.0,1.0,5.0,0.0,9.0,2.0,0.0,11.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0
Hull,29,9.0,6.0,16.0,17,11.0,11.0,8,0.0,19.0,20,17,13.0,8,4.0,7.0,2.0,20.0,9.0,13.0,2.0,6.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
